geo_id,name,total,hascomputer,dialup,broadband,nointernet,nocomputer
0500000US34015,"Gloucester County, New Jersey",104587,95878,303,89415,6160,8709
0500000US34033,"Salem County, New Jersey",23908,20456,243,18258,1955,3452
0500000US34031,"Passaic County, New Jersey",163670,139753,489,127119,12145,23917
0500000US34007,"Camden County, New Jersey",187158,166127,564,152285,13278,21031
0500000US34003,"Bergen County, New Jersey",338249,311587,966,297582,13039,26662
0500000US34041,"Warren County, New Jersey",41350,37319,242,34562,2515,4031
0500000US34017,"Hudson County, New Jersey",255429,229156,531,211182,17443,26273
0500000US34005,"Burlington County, New Jersey",165496,152552,683,143487,8382,12944
0500000US34027,"Morris County, New Jersey",180896,169565,471,162397,6697,11331
0500000US35039,"Rio Arriba County, New Mexico",12398,7747,55,6242,1450,4651
0500000US35047,"San Miguel County, New Mexico",11292,7767,3,5882,1882,3525
0500000US35057,"Torrance County, New Mexico",5664,4634,48,3503,1083,1030
0500000US35035,"Otero County, New Mexico",23391,19817,146,17556,2115,3574
0500000US35006,"Cibola County, New Mexico",8939,6834,117,4891,1826,2105
0500000US35019,"Guadalupe County, New Mexico",1404,712,8,539,165,692
0500000US35003,"Catron County, New Mexico",1381,946,0,708,238,435
0500000US35017,"Grant County, New Mexico",12003,9752,69,8015,1668,2251
0500000US35029,"Luna County, New Mexico",9025,6510,32,5103,1375,2515
0500000US35031,"McKinley County, New Mexico",20295,12016,255,8369,3392,8279
0500000US35055,"Taos County, New Mexico",12127,9438,157,7380,1901,2689
0500000US35007,"Colfax County, New Mexico",5678,4418,70,3690,658,1260
0500000US35015,"Eddy County, New Mexico",21264,18436,86,16487,1863,2828
0500000US35033,"Mora County, New Mexico",1535,920,2,769,149,615
0500000US35037,"Quay County, New Mexico",3060,2145,6,1735,404,915
0500000US35027,"Lincoln County, New Mexico",7815,6376,60,5389,927,1439
0500000US35025,"Lea County, New Mexico",22114,18767,42,16679,2046,3347
0500000US35049,"Santa Fe County, New Mexico",61972,53457,372,48330,4755,8515
0500000US35051,"Sierra County, New Mexico",5377,4105,38,3254,813,1272
0500000US35053,"Socorro County, New Mexico",4550,3007,59,2379,569,1543
0500000US35013,"Doña Ana County, New Mexico",77453,65676,274,54189,11213,11777
0500000US36095,"Schoharie County, New York",12559,10611,156,9055,1400,1948
0500000US36067,"Onondaga County, New York",185624,162450,556,144839,17055,23174
0500000US36019,"Clinton County, New York",31395,27528,104,24499,2925,3867
0500000US36099,"Seneca County, New York",13522,11631,92,10375,1164,1891
0500000US36079,"Putnam County, New York",34847,32874,47,31598,1229,1973
0500000US36033,"Franklin County, New York",19088,15636,133,13650,1853,3452
0500000US36069,"Ontario County, New York",44286,39633,252,36465,2916,4653
0500000US36081,"Queens County, New York",779234,691959,2010,632401,57548,87275
0500000US36101,"Steuben County, New York",40183,33846,409,29420,4017,6337
0500000US36041,"Hamilton County, New York",1124,932,12,807,113,192
0500000US36115,"Washington County, New York",24009,20688,230,18204,2254,3321
0500000US36013,"Chautauqua County, New York",52572,44089,447,38294,5348,8483
0500000US36047,"Kings County, New York",950856,815829,2929,727927,84973,135027
0500000US36061,"New York County, New York",758133,683361,1629,627026,54706,74772
0500000US36107,"Tioga County, New York",20045,17454,205,15892,1357,2591
0500000US36011,"Cayuga County, New York",31251,26754,201,23844,2709,4497
0500000US36073,"Orleans County, New York",16333,13940,127,12561,1252,2393
0500000US36091,"Saratoga County, New York",93876,86995,282,81939,4774,6881
0500000US36087,"Rockland County, New York",100005,87509,292,79817,7400,12496
0500000US36021,"Columbia County, New York",25243,22092,256,19270,2566,3151
0500000US36049,"Lewis County, New York",10242,8636,124,7654,858,1606
0500000US36063,"Niagara County, New York",88211,74207,980,66260,6967,14004
0500000US36119,"Westchester County, New York",347332,316547,761,292431,23355,30785
0500000US36025,"Delaware County, New York",19030,15843,118,13998,1727,3187
0500000US36031,"Essex County, New York",15425,13319,159,11729,1431,2106
0500000US36057,"Montgomery County, New York",19665,16183,189,14297,1697,3482
0500000US36059,"Nassau County, New York",445517,412702,964,392464,19274,32815
0500000US36085,"Richmond County, New York",166152,146693,590,133428,12675,19459
0500000US36097,"Schuyler County, New York",7304,6294,68,5490,736,1010
0500000US36109,"Tompkins County, New York",39326,36454,199,32772,3483,2872
0500000US36017,"Chenango County, New York",20616,17549,134,15642,1773,3067
0500000US36023,"Cortland County, New York",17685,15034,107,12611,2316,2651
0500000US36045,"Jefferson County, New York",43267,39033,164,35317,3552,4234
0500000US36065,"Oneida County, New York",90014,77432,514,69810,7108,12582
0500000US36103,"Suffolk County, New York",487981,447947,1241,420726,25980,40034
0500000US36121,"Wyoming County, New York",15815,13530,174,11902,1454,2285
0500000US36015,"Chemung County, New York",34373,30122,164,26511,3447,4251
0500000US36075,"Oswego County, New York",46032,41109,221,37342,3546,4923
0500000US36077,"Otsego County, New York",23556,20413,297,18026,2090,3143
0500000US36117,"Wayne County, New York",36504,31336,297,27655,3384,5168
0500000US36001,"Albany County, New York",126008,112036,400,102876,8760,13972
0500000US36007,"Broome County, New York",78594,68391,367,62097,5927,10203
0500000US36029,"Erie County, New York",387847,334516,1660,301620,31236,53331
0500000US36053,"Madison County, New York",26026,22573,114,20847,1612,3453
0500000US36105,"Sullivan County, New York",27890,23495,135,21607,1753,4395
0500000US37121,"Mitchell County, North Carolina",6361,4879,43,4224,612,1482
0500000US36037,"Genesee County, New York",23681,20281,100,18410,1771,3400
0500000US36071,"Orange County, New York",126776,112667,319,96393,15955,14109
0500000US37079,"Greene County, North Carolina",7259,6027,81,5196,750,1232
0500000US37041,"Chowan County, North Carolina",5984,4821,13,3933,875,1163
0500000US37027,"Caldwell County, North Carolina",32594,26685,259,24095,2331,5909
0500000US37035,"Catawba County, North Carolina",61099,52643,190,47872,4581,8456
0500000US37049,"Craven County, North Carolina",40871,36624,161,32828,3635,4247
